generateTime,totalInfo,timeZone,type
20210617 07:46:34,"{""avgRestingHeartRate"":68,""lastHeartRate"":83,""lastRestHeartRate"":0,""maxHeartRate"":118,""minHeartRate"":51}","""	-0500""",7
20210618 01:17:59,"{""allSleepTime"":596,""awakeTime"":5,""daySleepTime"":72,""deepSleepPart"":59,""deepSleepTime"":170,""dreamTime"":56,""fallAsleepTime"":1623916260000,""goBedTime"":1623909394000,""lightSleepTime"":370,""sleepEfficiency"":7,""sleepLatency"":7149000,""sleepScore"":72,""snoreFreq"":5,""validData"":89.8,""wakeupCnt"":1,""wakeupTime"":1623952320000}","""	-0500""",9
20210619 01:49:08,"{""allSleepTime"":443,""awakeTime"":4,""daySleepTime"":114,""deepSleepPart"":69,""deepSleepTime"":134,""dreamTime"":54,""fallAsleepTime"":1624003500000,""goBedTime"":1624002777000,""lightSleepTime"":255,""sleepEfficiency"":23,""sleepLatency"":1311000,""sleepScore"":81,""snoreFreq"":5,""validData"":84.87,""wakeupCnt"":1,""wakeupTime"":1624030320000}","""	-0500""",9
20210620 04:00:50,"{""allSleepTime"":615,""awakeTime"":4,""daySleepTime"":103,""deepSleepPart"":54,""deepSleepTime"":176,""dreamTime"":115,""fallAsleepTime"":1624086180000,""goBedTime"":1624086119000,""lightSleepTime"":324,""sleepEfficiency"":62,""sleepLatency"":335000,""sleepScore"":72,""snoreFreq"":6,""validData"":87.26,""wakeupCnt"":1,""wakeupTime"":1624123320000}","""	-0500""",9
20210623 20:07:47,"{""allSleepTime"":341,""awakeTime"":3,""daySleepTime"":106,""deepSleepPart"":48,""deepSleepTime"":93,""dreamTime"":41,""fallAsleepTime"":1624259100000,""goBedTime"":1624258737000,""lightSleepTime"":207,""sleepEfficiency"":31,""sleepLatency"":697000,""sleepScore"":72,""snoreFreq"":1,""validData"":89.77,""wakeupCnt"":1,""wakeupTime"":1624279740000}","""	-0500""",9
20210623 20:07:49,"{""allSleepTime"":512,""awakeTime"":31,""daySleepTime"":72,""deepSleepPart"":54,""deepSleepTime"":140,""dreamTime"":113,""fallAsleepTime"":1624343700000,""goBedTime"":1624343505000,""lightSleepTime"":259,""sleepEfficiency"":66,""sleepLatency"":199000,""sleepScore"":85,""snoreFreq"":1,""validData"":83.54,""wakeupCnt"":2,""wakeupTime"":1624376280000}","""	-0500""",9
20210624 00:00:06,"{""allSleepTime"":343,""awakeTime"":4,""daySleepTime"":128,""deepSleepPart"":48,""deepSleepTime"":94,""dreamTime"":33,""fallAsleepTime"":1624430880000,""goBedTime"":1624430777000,""lightSleepTime"":216,""sleepEfficiency"":39,""sleepLatency"":431000,""sleepScore"":70,""snoreFreq"":4,""validData"":81.04,""wakeupCnt"":2,""wakeupTime"":1624451700000}","""	-0500""",9
20210625 00:15:45,"{""allSleepTime"":0,""awakeTime"":0,""daySleepTime"":102,""deepSleepPart"":0,""deepSleepTime"":0,""dreamTime"":0,""fallAsleepTime"":0,""goBedTime"":0,""lightSleepTime"":0,""sleepEfficiency"":0,""sleepLatency"":0,""sleepScore"":0,""snoreFreq"":0,""validData"":0.0,""wakeupCnt"":0,""wakeupTime"":0}","""	-0500""",9
20210625 22:08:16,"{""allSleepTime"":463,""awakeTime"":22,""daySleepTime"":59,""deepSleepPart"":66,""deepSleepTime"":138,""dreamTime"":86,""fallAsleepTime"":1624608420000,""goBedTime"":1624607558000,""lightSleepTime"":239,""sleepEfficiency"":26,""sleepLatency"":1137000,""sleepScore"":84,""snoreFreq"":1,""validData"":80.25,""wakeupCnt"":1,""wakeupTime"":1624637520000}","""	-0500""",9
20210626 23:06:35,"{""allSleepTime"":531,""awakeTime"":15,""daySleepTime"":123,""deepSleepPart"":58,""deepSleepTime"":154,""dreamTime"":99,""fallAsleepTime"":1624694820000,""goBedTime"":1624694015000,""lightSleepTime"":278,""sleepEfficiency"":31,""sleepLatency"":1115000,""sleepScore"":81,""snoreFreq"":1,""validData"":87.72,""wakeupCnt"":1,""wakeupTime"":1624727580000}","""	-0500""",9
