recordDay,timeZone,sportType,sportBasicInfoData
20210807,"""	-0500""",5,"{""duration"":54,""altitude"":0.0,""distance"":1037,""calorie"":34216,""count"":0,""floor"":0,""steps"":1644}"
20210808,"""	-0500""",4,"{""duration"":14,""altitude"":0.0,""distance"":1859,""calorie"":121000,""count"":0,""floor"":0,""steps"":2136}"
20210808,"""	-0500""",5,"{""duration"":72,""altitude"":0.0,""distance"":1640,""calorie"":94946,""count"":0,""floor"":0,""steps"":2401}"
20210809,"""	-0500""",5,"{""duration"":27,""altitude"":0.0,""distance"":489,""calorie"":14223,""count"":0,""floor"":0,""steps"":835}"
20210810,"""	-0500""",4,"{""duration"":13,""altitude"":0.0,""distance"":1981,""calorie"":113000,""count"":0,""floor"":0,""steps"":2177}"
20210810,"""	-0500""",5,"{""duration"":153,""altitude"":0.0,""distance"":7907,""calorie"":424105,""count"":0,""floor"":0,""steps"":10851}"
20210811,"""	-0500""",5,"{""duration"":21,""altitude"":0.0,""distance"":246,""calorie"":5986,""count"":0,""floor"":0,""steps"":417}"
20210812,"""	-0500""",4,"{""duration"":16,""altitude"":0.0,""distance"":2252,""calorie"":137000,""count"":0,""floor"":0,""steps"":2519}"
20210812,"""	-0500""",5,"{""duration"":47,""altitude"":0.0,""distance"":2059,""calorie"":103540,""count"":0,""floor"":0,""steps"":2822}"
20210813,"""	-0500""",5,"{""duration"":28,""altitude"":0.0,""distance"":263,""calorie"":5357,""count"":0,""floor"":0,""steps"":460}"
20210814,"""	-0500""",5,"{""duration"":86,""altitude"":0.0,""distance"":1989,""calorie"":67426,""count"":0,""floor"":0,""steps"":3047}"
20210815,"""	-0500""",4,"{""duration"":15,""altitude"":0.0,""distance"":2158,""calorie"":128000,""count"":0,""floor"":0,""steps"":2333}"
20210815,"""	-0500""",5,"{""duration"":35,""altitude"":0.0,""distance"":961,""calorie"":61426,""count"":0,""floor"":0,""steps"":1334}"
20210816,"""	-0500""",5,"{""duration"":25,""altitude"":0.0,""distance"":364,""calorie"":11884,""count"":0,""floor"":0,""steps"":568}"
20210817,"""	-0500""",5,"{""duration"":78,""altitude"":0.0,""distance"":967,""calorie"":25807,""count"":0,""floor"":0,""steps"":1593}"
20210818,"""	-0500""",4,"{""duration"":18,""altitude"":0.0,""distance"":2748,""calorie"":161000,""count"":0,""floor"":0,""steps"":2943}"
20210818,"""	-0500""",5,"{""duration"":50,""altitude"":0.0,""distance"":1213,""calorie"":147250,""count"":0,""floor"":0,""steps"":1895}"
20210819,"""	-0500""",5,"{""duration"":38,""altitude"":0.0,""distance"":374,""calorie"":9362,""count"":0,""floor"":0,""steps"":662}"
20210820,"""	-0500""",4,"{""duration"":18,""altitude"":0.0,""distance"":2613,""calorie"":158000,""count"":0,""floor"":0,""steps"":2855}"
20210820,"""	-0500""",5,"{""duration"":71,""altitude"":0.0,""distance"":1432,""calorie"":214208,""count"":0,""floor"":0,""steps"":2492}"
20210821,"""	-0500""",5,"{""duration"":46,""altitude"":0.0,""distance"":512,""calorie"":14677,""count"":0,""floor"":0,""steps"":868}"
20210822,"""	-0500""",4,"{""duration"":17,""altitude"":0.0,""distance"":2629,""calorie"":153000,""count"":0,""floor"":0,""steps"":2835}"
20210822,"""	-0500""",5,"{""duration"":73,""altitude"":0.0,""distance"":1659,""calorie"":225876,""count"":0,""floor"":0,""steps"":2841}"
20210823,"""	-0500""",5,"{""duration"":29,""altitude"":0.0,""distance"":472,""calorie"":14826,""count"":0,""floor"":0,""steps"":785}"
20210824,"""	-0500""",4,"{""duration"":16,""altitude"":0.0,""distance"":2376,""calorie"":143000,""count"":0,""floor"":0,""steps"":2568}"
20210824,"""	-0500""",5,"{""duration"":65,""altitude"":0.0,""distance"":1822,""calorie"":174141,""count"":0,""floor"":0,""steps"":2663}"
20210825,"""	-0500""",5,"{""duration"":46,""altitude"":0.0,""distance"":579,""calorie"":11720,""count"":0,""floor"":0,""steps"":1014}"
20210826,"""	-0500""",4,"{""duration"":18,""altitude"":0.0,""distance"":2618,""calorie"":158000,""count"":0,""floor"":0,""steps"":2825}"
20210826,"""	-0500""",5,"{""duration"":63,""altitude"":0.0,""distance"":1630,""calorie"":149725,""count"":0,""floor"":0,""steps"":2617}"
20210827,"""	-0500""",5,"{""duration"":34,""altitude"":0.0,""distance"":478,""calorie"":17077,""count"":0,""floor"":0,""steps"":815}"
